run_id,InpSymbol,InpTF,InpEMAPeriod,InpRSIPeriod,InpRSILow,InpRSIHigh,InpADXPeriod,InpADXMin,InpSwingLookback,InpRR,InpUseCommonFile,InpShowIndicators,InpShowStatusPanel,InpUseSessionFilter,InpSessionStartHour,InpSessionEndHour,InpATRPeriod,InpMinATRPoints,InpMaxSpreadPoints,InpEnableBacktestExecution,InpUseCompoundingRisk,InpRiskPercent,InpBacktestLot,InpMinLot,InpMaxLot,InpOnePositionOnly
v5_001,BTCUSD.vx,15,50,5,20,80,5,20,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
v5_002,BTCUSD.vx,15,50,5,20,80,5,20,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
v5_003,BTCUSD.vx,15,50,5,20,80,5,25,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
v5_004,BTCUSD.vx,15,50,5,20,80,5,25,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
v5_005,BTCUSD.vx,15,50,5,20,80,5,30,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
v5_006,BTCUSD.vx,15,50,5,20,80,5,30,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
v5_007,BTCUSD.vx,15,50,5,25,75,5,20,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
v5_008,BTCUSD.vx,15,50,5,25,75,5,20,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
v5_009,BTCUSD.vx,15,50,5,25,75,5,25,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
v5_010,BTCUSD.vx,15,50,5,25,75,5,25,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
v5_011,BTCUSD.vx,15,50,5,25,75,5,30,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
v5_012,BTCUSD.vx,15,50,5,25,75,5,30,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
v5_013,BTCUSD.vx,15,50,5,30,70,5,20,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
v5_014,BTCUSD.vx,15,50,5,30,70,5,20,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
v5_015,BTCUSD.vx,15,50,5,30,70,5,25,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
v5_016,BTCUSD.vx,15,50,5,30,70,5,25,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
v5_017,BTCUSD.vx,15,50,5,30,70,5,30,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
v5_018,BTCUSD.vx,15,50,5,30,70,5,30,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
v5_019,BTCUSD.vx,15,50,7,20,80,5,20,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
v5_020,BTCUSD.vx,15,50,7,20,80,5,20,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
v5_021,BTCUSD.vx,15,50,7,20,80,5,25,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
v5_022,BTCUSD.vx,15,50,7,20,80,5,25,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
v5_023,BTCUSD.vx,15,50,7,20,80,5,30,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
v5_024,BTCUSD.vx,15,50,7,20,80,5,30,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
v5_025,BTCUSD.vx,15,50,7,25,75,5,20,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
