rsi_low,rsi_high,adx,rr,risk_pct,final_balance,net_profit
15.0,85.0,30.0,2.0,0.5,9831.68,-168.32
15.0,85.0,25.0,2.0,0.5,7290.48,-2709.52
15.0,85.0,30.0,2.0,0.5,7320.77,-2679.23
15.0,85.0,35.0,2.0,0.5,7469.9,-2530.1
20.0,80.0,25.0,2.0,0.5,6920.47,-3079.53
20.0,80.0,30.0,2.0,0.5,6774.78,-3225.22
20.0,80.0,35.0,2.0,0.5,7044.65,-2955.35
15.0,85.0,25.0,3.0,0.5,8041.05,-1958.95
15.0,85.0,30.0,3.0,0.5,7956.42,-2043.58
15.0,85.0,35.0,3.0,0.5,8168.95,-1831.05
15.0,85.0,30.0,2.0,1.0,5227.43,-4772.57
20.0,80.0,30.0,2.0,1.0,4481.99,-5518.01
15.0,85.0,30.0,3.0,1.0,6096.65,-3903.35
