run_id,rr,rsi_low,rsi_high,adx,session,min_atr,max_spread,risk_pct,final_balance,net_profit
v4_005,3.0,15.0,85.0,30.0,12-23,120.0,140.0,0.5,10508.33,508.33
v4_006,3.0,15.0,85.0,30.0,12-23,150.0,120.0,0.5,10508.33,508.33
v4_003,2.0,20.0,80.0,30.0,12-23,120.0,140.0,0.5,10389.84,389.84
v4_004,2.0,20.0,80.0,30.0,12-23,150.0,120.0,0.5,10389.84,389.84
v4_001,2.0,15.0,85.0,30.0,12-23,120.0,140.0,0.5,10388.61,388.61
v4_002,2.0,15.0,85.0,30.0,12-23,150.0,120.0,0.5,10388.61,388.61
v4_007,2.0,15.0,85.0,25.0,12-23,120.0,140.0,0.5,10388.61,388.61
v4_008,2.0,15.0,85.0,35.0,12-23,120.0,140.0,0.5,10388.61,388.61
v4_009,2.0,15.0,85.0,30.0,10-23,120.0,140.0,0.5,10340.59,340.59
v4_010,2.0,15.0,85.0,30.0,13-23,120.0,140.0,0.5,10290.78,290.78
