run_id,rsi_period,rsi_low,rsi_high,adx,rr,risk_pct,s_start,s_end,min_atr,max_spread,final_balance,net_profit
v5_001,3.0,15.0,85.0,30.0,2.0,0.5,12.0,23.0,120.0,140.0,10388.61,388.61
v5_002,3.0,15.0,85.0,30.0,2.0,0.5,12.0,23.0,150.0,120.0,10388.61,388.61
v5_003,3.0,20.0,80.0,30.0,2.0,0.5,12.0,23.0,120.0,140.0,10389.84,389.84
v5_004,3.0,20.0,80.0,30.0,2.0,0.5,12.0,23.0,150.0,120.0,10389.84,389.84
v5_005,3.0,15.0,85.0,30.0,3.0,0.5,12.0,23.0,120.0,140.0,10508.33,508.33
v5_006,3.0,15.0,85.0,30.0,3.0,0.5,12.0,23.0,150.0,120.0,10508.33,508.33
v5_007,3.0,15.0,85.0,25.0,2.0,0.5,12.0,23.0,120.0,140.0,10388.61,388.61
v5_008,3.0,15.0,85.0,35.0,2.0,0.5,12.0,23.0,120.0,140.0,10388.61,388.61
v5_009,3.0,15.0,85.0,30.0,2.0,0.5,10.0,23.0,120.0,140.0,10340.59,340.59
v5_010,3.0,15.0,85.0,30.0,2.0,0.5,13.0,23.0,120.0,140.0,10290.78,290.78
